scenario,controller,seed,avg_queue,avg_wait_s,avg_travel_s,throughput,backlog,switches,avg_delay_s,max_delay_s
corridor_heavy,Random,1001,7.81,11.09501187648456,80.92161520190024,793,1,135,11.20047449584816,57.0
corridor_heavy,Random,1002,6.62,9.391459074733095,76.75444839857651,790,1,134,9.510663507109005,57.0
corridor_heavy,Random,1003,5.843333333333334,8.590405904059041,77.29028290282903,766,0,132,8.694956949569496,60.0
corridor_heavy,Random,1004,7.550833333333333,10.833133253301321,78.46578631452581,767,1,126,10.974820143884893,58.0
corridor_heavy,Random,1005,7.960833333333333,11.273696682464456,80.75118483412322,793,0,132,11.420616113744076,51.0
corridor_heavy,Random,1006,6.57,9.187353629976581,74.84192037470726,770,0,134,9.314988290398126,63.0
corridor_heavy,Random,1007,8.719166666666666,12.448687350835323,82.60978520286396,777,0,137,12.609785202863963,74.0
corridor_heavy,Random,1008,6.763333333333334,10.11375,80.26,746,0,136,10.245,52.0
corridor_heavy,Random,1009,6.683333333333334,9.538829151732378,78.7168458781362,788,0,138,9.682198327359618,46.0
corridor_heavy,Independent QL (untrained),1000,15.659166666666666,21.870478413068845,87.35472578763127,804,0,38,22.024504084014,64.0
corridor_heavy,Independent QL (untrained),1001,15.53,22.07957244655582,89.09263657957244,789,1,38,22.20759193357058,64.0
corridor_heavy,Independent QL (untrained),1002,16.769166666666667,23.79265402843602,89.07345971563981,784,0,38,23.920616113744074,64.0
corridor_heavy,Independent QL (untrained),1003,15.094166666666666,22.23370233702337,89.13038130381304,760,0,38,22.359163591635916,63.0
corridor_heavy,Independent QL (untrained),1004,16.174166666666668,23.248499399759904,89.17286914765906,766,1,38,23.381294964028775,64.0
corridor_heavy,Independent QL (untrained),1005,16.6375,23.601895734597157,90.56279620853081,783,0,38,23.773696682464454,85.0
corridor_heavy,Independent QL (untrained),1006,14.959166666666667,20.971896955503514,85.14871194379391,786,0,38,21.10655737704918,63.0
corridor_heavy,Independent QL (untrained),1007,15.985,22.83412887828162,88.82577565632458,782,0,38,22.973747016706444,64.0
corridor_heavy,Independent QL (untrained),1008,15.055833333333334,22.535,90.535,752,0,38,22.67125,64.0
corridor_heavy,Independent QL (untrained),1009,16.036666666666665,22.939068100358423,90.24970131421745,787,0,38,23.07287933094385,80.0
corridor_heavy,Independent QL (trained),1000,2.6925,3.7421236872812136,68.71528588098016,814,0,160,3.8856476079346556,28.0
corridor_heavy,Independent QL (trained),1001,2.7041666666666666,3.8220640569395017,69.61921708185054,793,0,154,3.970344009489917,40.0
corridor_heavy,Independent QL (trained),1002,2.7591666666666668,3.8921800947867298,69.58649289099526,789,0,165,4.0225118483412325,30.0
corridor_heavy,Independent QL (trained),1003,2.6975,3.952029520295203,71.12177121771218,771,0,159,4.062730627306273,33.0
corridor_heavy,Independent QL (trained),1004,2.9283333333333332,4.187274909963985,70.48259303721488,777,1,162,4.332134292565947,32.0
corridor_heavy,Independent QL (trained),1005,2.8983333333333334,4.081753554502369,70.760663507109,788,0,162,4.25,22.0
corridor_heavy,Independent QL (trained),1006,2.8233333333333333,3.936768149882904,68.44847775175644,793,0,159,4.069086651053865,42.0
corridor_heavy,Independent QL (trained),1007,2.6925,3.8269689737470167,69.96778042959427,787,0,160,3.947494033412888,26.0
corridor_heavy,Independent QL (trained),1008,2.4283333333333332,3.61375,71.13875,763,0,152,3.7575,26.0
corridor_heavy,Independent QL (trained),1009,2.506666666666667,3.5639187574671447,69.66666666666667,793,0,162,3.6786140979689366,26.0
corridor_heavy,Coordinated QL (untrained),1000,15.659166666666666,21.870478413068845,87.35472578763127,804,0,38,22.024504084014,64.0
corridor_heavy,Coordinated QL (untrained),1001,15.53,22.07957244655582,89.09263657957244,789,1,38,22.20759193357058,64.0
corridor_heavy,Coordinated QL (untrained),1002,16.769166666666667,23.79265402843602,89.07345971563981,784,0,38,23.920616113744074,64.0
corridor_heavy,Coordinated QL (untrained),1003,15.094166666666666,22.23370233702337,89.13038130381304,760,0,38,22.359163591635916,63.0
corridor_heavy,Coordinated QL (untrained),1004,16.174166666666668,23.248499399759904,89.17286914765906,766,1,38,23.381294964028775,64.0
corridor_heavy,Coordinated QL (untrained),1005,16.6375,23.601895734597157,90.56279620853081,783,0,38,23.773696682464454,85.0
corridor_heavy,Coordinated QL (untrained),1006,14.959166666666667,20.971896955503514,85.14871194379391,786,0,38,21.10655737704918,63.0
corridor_heavy,Coordinated QL (untrained),1007,15.985,22.83412887828162,88.82577565632458,782,0,38,22.973747016706444,64.0
corridor_heavy,Coordinated QL (untrained),1008,15.055833333333334,22.535,90.535,752,0,38,22.67125,64.0
corridor_heavy,Coordinated QL (untrained),1009,16.036666666666665,22.939068100358423,90.24970131421745,787,0,38,23.07287933094385,80.0
corridor_heavy,Coordinated QL (trained),1000,2.8766666666666665,4.001166861143524,69.54842473745624,806,0,151,4.134189031505251,37.0
corridor_heavy,Coordinated QL (trained),1001,3.1558333333333333,4.4531435349940685,70.69039145907473,794,0,152,4.591933570581258,46.0
corridor_heavy,Coordinated QL (trained),1002,3.03,4.290628706998814,70.50652431791222,789,1,152,4.411137440758294,34.0
corridor_heavy,Coordinated QL (trained),1003,3.3341666666666665,4.870848708487085,71.95817958179582,771,0,139,4.996309963099631,52.0
corridor_heavy,Coordinated QL (trained),1004,3.5458333333333334,5.066026410564226,70.8499399759904,782,1,139,5.207434052757794,50.0
corridor_heavy,Coordinated QL (trained),1005,3.305,4.665876777251185,71.40876777251185,784,0,148,4.8246445497630335,41.0
corridor_heavy,Coordinated QL (trained),1006,3.9875,5.566744730679157,70.31264637002342,796,0,145,5.688524590163935,57.0
corridor_heavy,Coordinated QL (trained),1007,3.7691666666666666,5.355608591885441,72.3854415274463,787,0,146,5.523866348448688,64.0
corridor_heavy,Coordinated QL (trained),1008,3.0383333333333336,4.52375,72.81625,759,0,142,4.63625,35.0
corridor_heavy,Coordinated QL (trained),1009,3.17,4.49820788530466,71.92234169653524,792,0,148,4.608124253285544,44.0
four_way,Fixed-time,1000,18.9875,62.55922865013774,104.23140495867769,324,3,0,63.15300546448088,197.0
four_way,Fixed-time,1001,18.566666666666666,56.650510204081634,97.86479591836735,356,0,0,57.03316326530612,164.0
four_way,Fixed-time,1002,13.299166666666666,44.752112676056335,84.76338028169015,329,0,0,44.946478873239435,134.0
four_way,Fixed-time,1003,17.199166666666667,55.28225806451613,96.12096774193549,331,0,0,55.56989247311828,187.0
four_way,Fixed-time,1004,20.2375,61.75765306122449,103.8954081632653,352,1,0,62.00508905852417,161.0
four_way,Fixed-time,1005,15.838333333333333,51.303523035230356,91.94850948509485,338,0,0,51.517615176151764,192.0
four_way,Fixed-time,1006,20.05,65.68767123287671,109.12602739726027,346,0,0,66.37534246575342,206.0
four_way,Fixed-time,1007,18.258333333333333,59.997252747252745,101.10989010989012,326,0,0,60.332417582417584,180.0
four_way,Fixed-time,1008,15.579166666666667,53.20857142857143,93.70857142857143,320,3,0,53.29461756373938,148.0
four_way,Fixed-time,1009,14.649166666666666,48.61666666666667,88.48611111111111,326,0,0,48.825,147.0
four_way,Actuated,1000,6.730833333333333,21.93169398907104,60.74863387978142,343,0,0,22.128415300546447,79.0
four_way,Actuated,1001,7.2475,22.053571428571427,60.994897959183675,371,0,0,22.306122448979593,68.0
four_way,Actuated,1002,6.3741666666666665,21.385915492957746,60.8056338028169,339,0,0,21.56056338028169,75.0
four_way,Actuated,1003,6.298333333333333,20.18548387096774,59.17741935483871,355,0,0,20.408602150537636,63.0
four_way,Actuated,1004,8.2275,25.002544529262085,63.93129770992366,368,0,0,25.223918575063614,87.0
four_way,Actuated,1005,6.770833333333333,21.867208672086722,60.52845528455285,349,0,0,22.046070460704605,75.0
four_way,Actuated,1006,6.6075,21.564383561643837,60.9972602739726,354,0,0,21.852054794520548,84.0
four_way,Actuated,1007,6.514166666666667,21.365384615384617,59.895604395604394,349,0,0,21.568681318681318,68.0
four_way,Actuated,1008,6.535,22.059490084985836,61.359773371104815,340,0,0,22.257790368271955,90.0
four_way,Actuated,1009,5.83,19.26388888888889,57.59444444444444,338,0,0,19.455555555555556,67.0
four_way,Random,1000,28.711666666666666,99.71884057971015,152.93623188405797,297,21,79,109.57103825136612,350.0
four_way,Random,1001,30.0575,94.7578947368421,153.54473684210527,325,12,84,99.8188775510204,268.0
four_way,Random,1002,20.033333333333335,67.54647887323944,115.2056338028169,323,0,80,69.07323943661972,258.0
four_way,Random,1003,21.678333333333335,70.70299727520435,121.54223433242507,311,5,83,74.91666666666667,225.0
four_way,Random,1004,30.028333333333332,95.18783068783068,150.94973544973544,320,15,83,100.6234096692112,302.0
four_way,Random,1005,20.313333333333333,65.87262872628726,115.3360433604336,334,0,82,66.50135501355014,225.0
four_way,Random,1006,19.823333333333334,65.0,113.17260273972603,338,0,80,65.32876712328768,264.0
four_way,Random,1007,26.813333333333333,91.01133144475921,144.28895184135976,290,11,82,104.8021978021978,343.0
four_way,Random,1008,18.400833333333335,62.373937677053824,108.13314447592067,308,0,84,62.61756373937677,350.0
four_way,Random,1009,24.304166666666667,80.82222222222222,132.3,322,0,77,85.65,304.0
four_way,Longest queue first,1000,6.255,20.360655737704917,59.69125683060109,347,0,87,20.55191256830601,210.0
four_way,Longest queue first,1001,9.275833333333333,28.244897959183675,69.94642857142857,366,0,85,28.5,217.0
four_way,Longest queue first,1002,5.983333333333333,20.050704225352113,60.01971830985916,341,0,87,20.222535211267605,119.0
four_way,Longest queue first,1003,6.348333333333334,20.317204301075268,59.80107526881721,349,0,88,20.545698924731184,140.0
four_way,Longest queue first,1004,14.890833333333333,45.31297709923664,91.41221374045801,356,0,85,45.59796437659033,224.0
four_way,Longest queue first,1005,6.930833333333333,22.37669376693767,62.10027100271003,350,0,87,22.54742547425474,127.0
four_way,Longest queue first,1006,7.149166666666667,23.345205479452055,64.30410958904109,357,0,89,23.643835616438356,125.0
four_way,Longest queue first,1007,6.4225,21.041208791208792,60.92307692307692,352,0,89,21.255494505494507,145.0
